block_type	word	response	response_time
syllabe	irritable	['2']	0.7345303000038257
syllabe	confiant	['1']	0.2754826000018511
syllabe	mufle	['3']	0.20904309999605175
syllabe	romantique	['1']	4.890000127488747e-05
syllabe	comique	['2']	0.18895010000414914
friend	poli	['3']	0.45739189999585506
friend	querelleur	['2']	0.2591145999977016
friend	sincère	['2']	0.2957546999969054
friend	ennuyant	['1']	0.24081560000195168
friend	gai	['3']	0.3348704000018188
me	efficace	None	None
me	égoïste	None	None
me	fiable	None	None
me	créative	None	None
me	confiant	None	None
me	désordonné	None	None
me	responsable	None	None
me	ennuyant	None	None
me	romantique	None	None
me	indifférent	None	None
