block_type	word	response	response_time
friend	poli	None	None
friend	querelleur	['3']	1.0788395999989007
friend	brouillon	['2']	1.8048605999938445
friend	vantard	None	None
friend	imaginatif	None	None
me	chaleureux	None	None
me	indifférent	None	None
me	grande-gueule	['2']	1.1019475999928545
me	poli	['3']	0.9585727000085171
me	responsable	['1']	0.8119192000012845
syllabe	chaleureux	None	None
syllabe	malhonnête	['2']	2.662071600003401
syllabe	brouillon	None	None
syllabe	sociable	['4']	1.5859997999941697
syllabe	gentil	['4']	1.2457075999991503
