onset	duration	stimuli	trial_type
0.023928400012664497	1.000010099989595	:; $+	Noise
1.0299226000061026	1.0000068999943323	 #^=-	Noise
2.0346587000094587	1.000010600007954	:?$µ	Noise
3.038155700007337	1.0000089999957709	###	Noise
4.04347570000391	1.0000066000066	pomme	Stimuli
5.047423300013179	1.0000092999980552	poire	Stimuli
6.052498800010653	1.0000073999981396	abricot	Stimuli
7.056991100005689	1.0000055999989854	mon_test	Stimuli
8.060724499999196	1.0000068999943323	:; $+	Noise
9.064177200008999	1.0000108999956865	 #^=-	Noise
10.067943300004117	1.0000082000042312	:?$µ	Noise
11.072013500001049	1.0000072999973781	###	Noise
