onset	duration	stimuli	trial_type
0.07138700000359677	1.0000089000095613	:; $+	Noise
1.1179616000008537	1.000010600007954	 #^=-	Noise
2.125364899999113	1.0000087000080384	:?$µ	Noise
3.1297097000060603	1.0000090999965323	###	Noise
4.138892400005716	1.000009499999578	pomme	Stimuli
5.145833200003835	1.0000101000041468	poire	Stimuli
6.155014800009667	1.0000096000003396	abricot	Stimuli
7.163998999996693	1.000006799993571	mon_test	Stimuli
8.168718300003093	1.0000093999988167	:; $+	Noise
9.173580900009256	1.0000083999912022	 #^=-	Noise
10.17860159999691	1.0000164000084624	:?$µ	Noise
11.185021800003597	1.0000083000049926	###	Noise
