onset	duration	stimuli	trial_type
0.07335810000950005	1.0000098000018625	:; $+	Noise
1.0788683999999193	1.0000065000058385	 #^=-	Noise
2.085166400007438	1.0000083999912022	:?$µ	Noise
3.08864000000176	1.0000069999950938	###	Noise
4.093782399999327	1.000009700001101	pomme	Stimuli
5.09818180000002	1.000007499998901	poire	Stimuli
6.142982400007895	1.0000072999973781	abricot	Stimuli
7.147710800010827	1.0000084999919636	mon_test	Stimuli
8.152266800010693	1.0000066000066	:; $+	Noise
9.156900600006338	1.0000123000063468	 #^=-	Noise
10.160790599999018	1.0000063000043156	:?$µ	Noise
11.164793600008124	1.0000102000049083	###	Noise
